Epoch 0, Loss: 0.7817723155021667, time: 0.25 seconds
Epoch 1, Loss: 0.7794484496116638, time: 0.01 seconds
Epoch 2, Loss: 0.7770960330963135, time: 0.01 seconds
Epoch 3, Loss: 0.7747125029563904, time: 0.01 seconds
Epoch 4, Loss: 0.7722949385643005, time: 0.00 seconds
Epoch 5, Loss: 0.7698395848274231, time: 0.00 seconds
Epoch 6, Loss: 0.7673421502113342, time: 0.01 seconds
Epoch 7, Loss: 0.7647988200187683, time: 0.00 seconds
Epoch 8, Loss: 0.7622061371803284, time: 0.00 seconds
Epoch 9, Loss: 0.759560763835907, time: 0.00 seconds
Epoch 10, Loss: 0.7568592429161072, time: 0.01 seconds
Epoch 11, Loss: 0.7540980577468872, time: 0.00 seconds
Epoch 12, Loss: 0.751273512840271, time: 0.00 seconds
Epoch 13, Loss: 0.7483817338943481, time: 0.00 seconds
Epoch 14, Loss: 0.7454187273979187, time: 0.00 seconds
Epoch 15, Loss: 0.7423804998397827, time: 0.00 seconds
Epoch 16, Loss: 0.7392628192901611, time: 0.00 seconds
Epoch 17, Loss: 0.736061692237854, time: 0.00 seconds
Epoch 18, Loss: 0.7327728867530823, time: 0.00 seconds
Epoch 19, Loss: 0.7293923497200012, time: 0.00 seconds
Epoch 20, Loss: 0.7259164452552795, time: 0.00 seconds
Epoch 21, Loss: 0.7223414182662964, time: 0.00 seconds
Epoch 22, Loss: 0.7186635732650757, time: 0.00 seconds
Epoch 23, Loss: 0.7148795127868652, time: 0.00 seconds
Epoch 24, Loss: 0.7109858989715576, time: 0.00 seconds
Epoch 25, Loss: 0.7069793939590454, time: 0.00 seconds
Epoch 26, Loss: 0.7028570771217346, time: 0.00 seconds
Epoch 27, Loss: 0.6986156702041626, time: 0.00 seconds
Epoch 28, Loss: 0.6942528486251831, time: 0.00 seconds
Epoch 29, Loss: 0.6897655129432678, time: 0.00 seconds
Epoch 30, Loss: 0.6851511001586914, time: 0.00 seconds
Epoch 31, Loss: 0.6804073452949524, time: 0.00 seconds
Epoch 32, Loss: 0.6755316853523254, time: 0.00 seconds
Epoch 33, Loss: 0.6705220937728882, time: 0.00 seconds
Epoch 34, Loss: 0.6653762459754944, time: 0.00 seconds
Epoch 35, Loss: 0.6600922346115112, time: 0.00 seconds
Epoch 36, Loss: 0.6546680927276611, time: 0.00 seconds
Epoch 37, Loss: 0.6491023898124695, time: 0.00 seconds
Epoch 38, Loss: 0.6433933973312378, time: 0.00 seconds
Epoch 39, Loss: 0.637539803981781, time: 0.00 seconds
Epoch 40, Loss: 0.6315409541130066, time: 0.00 seconds
Epoch 41, Loss: 0.6253958940505981, time: 0.00 seconds
Epoch 42, Loss: 0.6191043853759766, time: 0.00 seconds
Epoch 43, Loss: 0.6126663088798523, time: 0.00 seconds
Epoch 44, Loss: 0.6060822606086731, time: 0.00 seconds
Epoch 45, Loss: 0.5993529558181763, time: 0.00 seconds
Epoch 46, Loss: 0.5924794673919678, time: 0.00 seconds
Epoch 47, Loss: 0.5854634046554565, time: 0.00 seconds
Epoch 48, Loss: 0.5783065557479858, time: 0.00 seconds
Epoch 49, Loss: 0.5710112452507019, time: 0.00 seconds
Epoch 50, Loss: 0.5635801553726196, time: 0.00 seconds
Epoch 51, Loss: 0.556016206741333, time: 0.00 seconds
Epoch 52, Loss: 0.5483229756355286, time: 0.00 seconds
Epoch 53, Loss: 0.5405038595199585, time: 0.00 seconds
Epoch 54, Loss: 0.5325630307197571, time: 0.00 seconds
Epoch 55, Loss: 0.5245046019554138, time: 0.00 seconds
Epoch 56, Loss: 0.5163332223892212, time: 0.00 seconds
Epoch 57, Loss: 0.5080538392066956, time: 0.00 seconds
Epoch 58, Loss: 0.49967166781425476, time: 0.00 seconds
Epoch 59, Loss: 0.49119237065315247, time: 0.00 seconds
Epoch 60, Loss: 0.4826221764087677, time: 0.00 seconds
Epoch 61, Loss: 0.4739677608013153, time: 0.00 seconds
Epoch 62, Loss: 0.465236634016037, time: 0.00 seconds
Epoch 63, Loss: 0.4564366936683655, time: 0.00 seconds
Epoch 64, Loss: 0.44757673144340515, time: 0.00 seconds
Epoch 65, Loss: 0.4386661648750305, time: 0.00 seconds
Epoch 66, Loss: 0.4297150671482086, time: 0.00 seconds
Epoch 67, Loss: 0.42073407769203186, time: 0.00 seconds
Epoch 68, Loss: 0.4117344617843628, time: 0.00 seconds
Epoch 69, Loss: 0.40272822976112366, time: 0.00 seconds
Epoch 70, Loss: 0.39372798800468445, time: 0.00 seconds
Epoch 71, Loss: 0.38474732637405396, time: 0.00 seconds
Epoch 72, Loss: 0.37580057978630066, time: 0.00 seconds
Epoch 73, Loss: 0.3669029474258423, time: 0.00 seconds
Epoch 74, Loss: 0.3580702245235443, time: 0.00 seconds
Epoch 75, Loss: 0.3493189513683319, time: 0.00 seconds
Epoch 76, Loss: 0.3406660258769989, time: 0.00 seconds
Epoch 77, Loss: 0.33212852478027344, time: 0.00 seconds
Epoch 78, Loss: 0.32372379302978516, time: 0.00 seconds
Epoch 79, Loss: 0.315468966960907, time: 0.00 seconds
Epoch 80, Loss: 0.30738118290901184, time: 0.00 seconds
Epoch 81, Loss: 0.2994771897792816, time: 0.00 seconds
Epoch 82, Loss: 0.29177325963974, time: 0.00 seconds
Epoch 83, Loss: 0.2842849791049957, time: 0.00 seconds
Epoch 84, Loss: 0.2770269811153412, time: 0.01 seconds
Epoch 85, Loss: 0.27001258730888367, time: 0.00 seconds
Epoch 86, Loss: 0.26325365900993347, time: 0.00 seconds
Epoch 87, Loss: 0.2567601799964905, time: 0.00 seconds
Epoch 88, Loss: 0.2505401074886322, time: 0.00 seconds
Epoch 89, Loss: 0.24459901452064514, time: 0.00 seconds
Epoch 90, Loss: 0.23893995583057404, time: 0.00 seconds
Epoch 91, Loss: 0.23356319963932037, time: 0.00 seconds
Epoch 92, Loss: 0.2284661829471588, time: 0.00 seconds
Epoch 93, Loss: 0.22364340722560883, time: 0.00 seconds
Epoch 94, Loss: 0.21908660233020782, time: 0.00 seconds
Epoch 95, Loss: 0.21478474140167236, time: 0.00 seconds
Epoch 96, Loss: 0.2107241153717041, time: 0.00 seconds
Epoch 97, Loss: 0.2068888545036316, time: 0.00 seconds
Epoch 98, Loss: 0.20326104760169983, time: 0.00 seconds
Epoch 99, Loss: 0.19982129335403442, time: 0.00 seconds
Epoch 100, Loss: 0.19654929637908936, time: 0.00 seconds
Epoch 101, Loss: 0.1934243142604828, time: 0.00 seconds
Epoch 102, Loss: 0.19042585790157318, time: 0.00 seconds
Epoch 103, Loss: 0.18753424286842346, time: 0.00 seconds
