Epoch 100, Loss: 0.8936166167259216, time: 0.77 seconds
Epoch 101, Loss: 0.8933840990066528, time: 0.65 seconds
Epoch 102, Loss: 0.8932411074638367, time: 0.77 seconds
Epoch 103, Loss: 0.8931297063827515, time: 0.77 seconds
Epoch 104, Loss: 0.8929885625839233, time: 0.78 seconds
Epoch 105, Loss: 0.8927810192108154, time: 0.78 seconds
Epoch 106, Loss: 0.8925067186355591, time: 0.77 seconds
Epoch 107, Loss: 0.892195999622345, time: 0.76 seconds
Epoch 108, Loss: 0.891889750957489, time: 0.73 seconds
Epoch 109, Loss: 0.8916203379631042, time: 0.73 seconds
Epoch 110, Loss: 0.8913979530334473, time: 0.71 seconds
Epoch 111, Loss: 0.8912087678909302, time: 0.77 seconds
Epoch 112, Loss: 0.8910265564918518, time: 0.74 seconds
Epoch 113, Loss: 0.8908264636993408, time: 0.72 seconds
Epoch 114, Loss: 0.8905957937240601, time: 0.78 seconds
Epoch 115, Loss: 0.8903381824493408, time: 0.73 seconds
Epoch 116, Loss: 0.8900684118270874, time: 0.75 seconds
Epoch 117, Loss: 0.8898046016693115, time: 0.76 seconds
Epoch 118, Loss: 0.8895578384399414, time: 0.78 seconds
Epoch 119, Loss: 0.8893290758132935, time: 0.79 seconds
Epoch 120, Loss: 0.8891095519065857, time: 0.78 seconds
Epoch 121, Loss: 0.8888871669769287, time: 0.77 seconds
Epoch 122, Loss: 0.8886524438858032, time: 0.78 seconds
Epoch 123, Loss: 0.8884032368659973, time: 0.77 seconds
Epoch 124, Loss: 0.8881438374519348, time: 0.75 seconds
Epoch 125, Loss: 0.8878814578056335, time: 0.78 seconds
Epoch 126, Loss: 0.8876232504844666, time: 0.78 seconds
Epoch 127, Loss: 0.887371838092804, time: 0.79 seconds
Epoch 128, Loss: 0.8871251940727234, time: 0.76 seconds
Epoch 129, Loss: 0.8868780136108398, time: 0.76 seconds
Epoch 130, Loss: 0.8866255879402161, time: 0.78 seconds
Epoch 131, Loss: 0.8863654136657715, time: 0.77 seconds
Epoch 132, Loss: 0.886098325252533, time: 0.76 seconds
Epoch 133, Loss: 0.8858274817466736, time: 0.74 seconds
Epoch 134, Loss: 0.885556161403656, time: 0.77 seconds
Epoch 135, Loss: 0.8852858543395996, time: 0.73 seconds
Epoch 136, Loss: 0.8850164413452148, time: 0.69 seconds
Epoch 137, Loss: 0.8847458362579346, time: 0.76 seconds
Epoch 138, Loss: 0.8844716548919678, time: 0.78 seconds
Epoch 139, Loss: 0.8841926455497742, time: 0.77 seconds
Epoch 140, Loss: 0.8839084506034851, time: 0.74 seconds
