Epoch 0, Loss: 0.7022252082824707, time: 0.414203405380249
Epoch 1, Loss: 0.7005341053009033, time: 0.346372127532959
Epoch 2, Loss: 0.6990728378295898, time: 0.3539083003997803
Epoch 3, Loss: 0.6976563334465027, time: 0.3558378219604492
Epoch 4, Loss: 0.6962138414382935, time: 0.3448665142059326
Epoch 5, Loss: 0.6947181224822998, time: 0.32405948638916016
Epoch 6, Loss: 0.6931631565093994, time: 0.3335084915161133
Epoch 7, Loss: 0.6915525197982788, time: 0.3222956657409668
Epoch 8, Loss: 0.6898922920227051, time: 0.3296959400177002
Epoch 9, Loss: 0.688187837600708, time: 0.3864145278930664
Epoch 10, Loss: 0.6864418983459473, time: 0.3175356388092041
Epoch 11, Loss: 0.6846548318862915, time: 0.34194445610046387
Epoch 12, Loss: 0.6828248500823975, time: 0.3535153865814209
Epoch 13, Loss: 0.6809482574462891, time: 0.325969934463501
Epoch 14, Loss: 0.6790208220481873, time: 0.3273618221282959
Epoch 15, Loss: 0.6770392656326294, time: 0.327256441116333
Epoch 16, Loss: 0.6750004291534424, time: 0.3175008296966553
Epoch 17, Loss: 0.6729028224945068, time: 0.29229164123535156
Epoch 18, Loss: 0.6707453727722168, time: 0.3500702381134033
Epoch 19, Loss: 0.6685272455215454, time: 0.3252577781677246
Epoch 20, Loss: 0.6662473678588867, time: 0.32453131675720215
Epoch 21, Loss: 0.6639039516448975, time: 0.3466525077819824
Epoch 22, Loss: 0.6614943742752075, time: 0.32603931427001953
Epoch 23, Loss: 0.6590156555175781, time: 0.31975507736206055
Epoch 24, Loss: 0.6564644575119019, time: 0.34064769744873047
Epoch 25, Loss: 0.6538375020027161, time: 0.32993555068969727
Epoch 26, Loss: 0.6511322259902954, time: 0.3320794105529785
Epoch 27, Loss: 0.6483461856842041, time: 0.3409903049468994
Epoch 28, Loss: 0.6454775929450989, time: 0.35543346405029297
Epoch 29, Loss: 0.6425246000289917, time: 0.3325080871582031
Epoch 30, Loss: 0.6394853591918945, time: 0.36530494689941406
Epoch 31, Loss: 0.6363581418991089, time: 0.306293249130249
Epoch 32, Loss: 0.6331408023834229, time: 0.3306286334991455
Epoch 33, Loss: 0.6298311948776245, time: 0.3704335689544678
Epoch 34, Loss: 0.626427412033081, time: 0.3742492198944092
Epoch 35, Loss: 0.6229274868965149, time: 0.3383476734161377
Epoch 36, Loss: 0.6193297505378723, time: 0.37711310386657715
Epoch 37, Loss: 0.6156326532363892, time: 0.34612059593200684
Epoch 38, Loss: 0.6118348240852356, time: 0.3326547145843506
Epoch 39, Loss: 0.6079349517822266, time: 0.33689284324645996
Epoch 40, Loss: 0.6039319038391113, time: 0.32773876190185547
Epoch 41, Loss: 0.5998241901397705, time: 0.3563368320465088
Epoch 42, Loss: 0.5956107378005981, time: 0.32300591468811035
Epoch 43, Loss: 0.5912905335426331, time: 0.3818213939666748
Epoch 44, Loss: 0.5868625640869141, time: 0.3305239677429199
Epoch 45, Loss: 0.5823262333869934, time: 0.3329193592071533
Epoch 46, Loss: 0.5776808261871338, time: 0.36214685440063477
Epoch 47, Loss: 0.5729261636734009, time: 0.361574649810791
Epoch 48, Loss: 0.5680621862411499, time: 0.36583566665649414
Epoch 49, Loss: 0.5630888938903809, time: 0.3571913242340088
Epoch 50, Loss: 0.5580065846443176, time: 0.32495546340942383
Epoch 51, Loss: 0.552815854549408, time: 0.3054971694946289
Epoch 52, Loss: 0.5475172996520996, time: 0.30298519134521484
Epoch 53, Loss: 0.5421119928359985, time: 0.32911062240600586
Epoch 54, Loss: 0.5366014242172241, time: 0.33933210372924805
Epoch 55, Loss: 0.5309871435165405, time: 0.3248097896575928
Epoch 56, Loss: 0.5252711772918701, time: 0.30893373489379883
Epoch 57, Loss: 0.5194557309150696, time: 0.3511672019958496
Epoch 58, Loss: 0.5135433673858643, time: 0.33606648445129395
Epoch 59, Loss: 0.5075372457504272, time: 0.3060636520385742
Epoch 60, Loss: 0.5014405250549316, time: 0.33141326904296875
Epoch 61, Loss: 0.49525704979896545, time: 0.3441464900970459
Epoch 62, Loss: 0.4889909029006958, time: 0.2677159309387207
Epoch 63, Loss: 0.48264673352241516, time: 0.33989477157592773
Epoch 64, Loss: 0.47622936964035034, time: 0.33060145378112793
Epoch 65, Loss: 0.4697444438934326, time: 0.3129615783691406
Epoch 66, Loss: 0.46319758892059326, time: 0.3358893394470215
Epoch 67, Loss: 0.45659518241882324, time: 0.3330545425415039
Epoch 68, Loss: 0.4499438405036926, time: 0.31608080863952637
Epoch 69, Loss: 0.443250834941864, time: 0.33015990257263184
Epoch 70, Loss: 0.4365236163139343, time: 0.3427252769470215
Epoch 71, Loss: 0.42977020144462585, time: 0.2946324348449707
Epoch 72, Loss: 0.42299896478652954, time: 0.32661986351013184
Epoch 73, Loss: 0.41621869802474976, time: 0.3097095489501953
Epoch 74, Loss: 0.40943872928619385, time: 0.30286216735839844
Epoch 75, Loss: 0.4026685059070587, time: 0.3623239994049072
Epoch 76, Loss: 0.395918071269989, time: 0.3244497776031494
Epoch 77, Loss: 0.38919758796691895, time: 0.3225870132446289
Epoch 78, Loss: 0.38251757621765137, time: 0.3378143310546875
Epoch 79, Loss: 0.3758888840675354, time: 0.3492753505706787
Epoch 80, Loss: 0.3693222999572754, time: 0.35053443908691406
Epoch 81, Loss: 0.3628290295600891, time: 0.31671857833862305
Epoch 82, Loss: 0.3564201295375824, time: 0.3539259433746338
Epoch 83, Loss: 0.35010671615600586, time: 0.30826377868652344
Epoch 84, Loss: 0.3438999652862549, time: 0.3407578468322754
