Epoch 49, Data Loss: 0.9199243783950806, Physics Loss: 9.768399238586426, Total Loss: 1.8967642784118652, time: 4.76 seconds
Epoch 50, Data Loss: 0.9529851078987122, Physics Loss: 9.666783332824707, Total Loss: 1.919663429260254, time: 4.77 seconds
Epoch 51, Data Loss: 0.9924765229225159, Physics Loss: 9.588537216186523, Total Loss: 1.9513301849365234, time: 4.77 seconds
Epoch 52, Data Loss: 1.0253474712371826, Physics Loss: 9.536623001098633, Total Loss: 1.9790098667144775, time: 4.89 seconds
Epoch 53, Data Loss: 1.0427674055099487, Physics Loss: 9.511870384216309, Total Loss: 1.9939544200897217, time: 4.77 seconds
Epoch 54, Data Loss: 1.041383147239685, Physics Loss: 9.513350486755371, Total Loss: 1.99271821975708, time: 4.78 seconds
Epoch 55, Data Loss: 1.0230560302734375, Physics Loss: 9.538675308227539, Total Loss: 1.9769235849380493, time: 4.75 seconds
Epoch 56, Data Loss: 0.9935615062713623, Physics Loss: 9.584226608276367, Total Loss: 1.951984167098999, time: 4.88 seconds
Epoch 57, Data Loss: 0.9606355428695679, Physics Loss: 9.645318031311035, Total Loss: 1.9251673221588135, time: 4.87 seconds
Epoch 58, Data Loss: 0.931793212890625, Physics Loss: 9.7163724899292, Total Loss: 1.903430461883545, time: 4.82 seconds
Epoch 59, Data Loss: 0.9123650193214417, Physics Loss: 9.791186332702637, Total Loss: 1.8914836645126343, time: 4.92 seconds
Epoch 60, Data Loss: 0.9042217135429382, Physics Loss: 9.86330795288086, Total Loss: 1.8905525207519531, time: 4.77 seconds
Epoch 61, Data Loss: 0.9055927395820618, Physics Loss: 9.926573753356934, Total Loss: 1.8982501029968262, time: 4.83 seconds
Epoch 62, Data Loss: 0.9120821952819824, Physics Loss: 9.975739479064941, Total Loss: 1.9096561670303345, time: 4.87 seconds
Epoch 63, Data Loss: 0.9185711741447449, Physics Loss: 10.007101058959961, Total Loss: 1.919281244277954, time: 4.76 seconds
Epoch 64, Data Loss: 0.9212246537208557, Physics Loss: 10.01893138885498, Total Loss: 1.9231178760528564, time: 4.79 seconds
Epoch 65, Data Loss: 0.9187754392623901, Physics Loss: 10.011677742004395, Total Loss: 1.9199432134628296, time: 4.84 seconds
Epoch 66, Data Loss: 0.9125755429267883, Physics Loss: 9.987762451171875, Total Loss: 1.9113517999649048, time: 4.88 seconds
Epoch 67, Data Loss: 0.9055684208869934, Physics Loss: 9.95114803314209, Total Loss: 1.9006831645965576, time: 4.89 seconds
Epoch 68, Data Loss: 0.900785505771637, Physics Loss: 9.906704902648926, Total Loss: 1.8914560079574585, time: 4.77 seconds
Epoch 69, Data Loss: 0.9000736474990845, Physics Loss: 9.859532356262207, Total Loss: 1.8860268592834473, time: 4.88 seconds
Epoch 70, Data Loss: 0.9035469889640808, Physics Loss: 9.814395904541016, Total Loss: 1.8849866390228271, time: 4.86 seconds
Epoch 71, Data Loss: 0.9097856283187866, Physics Loss: 9.775327682495117, Total Loss: 1.8873183727264404, time: 4.80 seconds
Epoch 72, Data Loss: 0.9165329933166504, Physics Loss: 9.745314598083496, Total Loss: 1.8910644054412842, time: 4.82 seconds
Epoch 73, Data Loss: 0.9215704202651978, Physics Loss: 9.726213455200195, Total Loss: 1.8941917419433594, time: 4.72 seconds
Epoch 74, Data Loss: 0.9234095215797424, Physics Loss: 9.718732833862305, Total Loss: 1.8952827453613281, time: 4.76 seconds
Epoch 75, Data Loss: 0.9216426610946655, Physics Loss: 9.72249698638916, Total Loss: 1.8938922882080078, time: 4.88 seconds
Epoch 76, Data Loss: 0.9168976545333862, Physics Loss: 9.736197471618652, Total Loss: 1.8905174732208252, time: 4.93 seconds
Epoch 77, Data Loss: 0.9105040431022644, Physics Loss: 9.757755279541016, Total Loss: 1.886279582977295, time: 5.28 seconds
Epoch 78, Data Loss: 0.9039890766143799, Physics Loss: 9.784509658813477, Total Loss: 1.8824400901794434, time: 4.94 seconds
Epoch 79, Data Loss: 0.8985852599143982, Physics Loss: 9.813486099243164, Total Loss: 1.8799338340759277, time: 4.77 seconds
Epoch 80, Data Loss: 0.8949106931686401, Physics Loss: 9.84166145324707, Total Loss: 1.8790768384933472, time: 4.85 seconds
Epoch 81, Data Loss: 0.8929103016853333, Physics Loss: 9.866259574890137, Total Loss: 1.8795362710952759, time: 4.89 seconds
Epoch 82, Data Loss: 0.8920334577560425, Physics Loss: 9.885043144226074, Total Loss: 1.880537748336792, time: 4.93 seconds
Epoch 83, Data Loss: 0.8915802836418152, Physics Loss: 9.896523475646973, Total Loss: 1.8812326192855835, time: 4.92 seconds
Epoch 84, Data Loss: 0.8910256028175354, Physics Loss: 9.900105476379395, Total Loss: 1.8810361623764038, time: 4.90 seconds
