Epoch 99, Loss: 0.00042346841655671597, time: 0.01 seconds
Epoch 100, Loss: 0.0003926113713532686, time: 0.01 seconds
Epoch 101, Loss: 0.00036916439421474934, time: 0.01 seconds
Epoch 102, Loss: 0.00035196615499444306, time: 0.01 seconds
Epoch 103, Loss: 0.00034160586073994637, time: 0.01 seconds
Epoch 104, Loss: 0.0003365110023878515, time: 0.01 seconds
Epoch 105, Loss: 0.00033572196844033897, time: 0.01 seconds
Epoch 106, Loss: 0.0003379554837010801, time: 0.01 seconds
Epoch 107, Loss: 0.0003417776897549629, time: 0.01 seconds
Epoch 108, Loss: 0.0003463184693828225, time: 0.01 seconds
Epoch 109, Loss: 0.0003498726582620293, time: 0.00 seconds
Epoch 110, Loss: 0.00035239028511568904, time: 0.01 seconds
Epoch 111, Loss: 0.0003524655767250806, time: 0.01 seconds
Epoch 112, Loss: 0.0003509676025714725, time: 0.01 seconds
Epoch 113, Loss: 0.00034718384267762303, time: 0.01 seconds
Epoch 114, Loss: 0.00034205050906166434, time: 0.01 seconds
Epoch 115, Loss: 0.00033532388624735177, time: 0.01 seconds
Epoch 116, Loss: 0.0003275521448813379, time: 0.01 seconds
Epoch 117, Loss: 0.0003191279829479754, time: 0.01 seconds
Epoch 118, Loss: 0.0003114085702691227, time: 0.01 seconds
Epoch 119, Loss: 0.0003039546136278659, time: 0.01 seconds
Epoch 120, Loss: 0.0002970215864479542, time: 0.01 seconds
Epoch 121, Loss: 0.0002910536713898182, time: 0.01 seconds
Epoch 122, Loss: 0.00028606492560356855, time: 0.01 seconds
Epoch 123, Loss: 0.0002821082016453147, time: 0.01 seconds
Epoch 124, Loss: 0.00027876286185346544, time: 0.01 seconds
Epoch 125, Loss: 0.00027629118994809687, time: 0.01 seconds
Epoch 126, Loss: 0.00027420747210271657, time: 0.01 seconds
Epoch 127, Loss: 0.00027250219136476517, time: 0.01 seconds
Epoch 128, Loss: 0.00027098943246528506, time: 0.01 seconds
Epoch 129, Loss: 0.00026943592820316553, time: 0.01 seconds
Epoch 130, Loss: 0.0002677775628399104, time: 0.01 seconds
Epoch 131, Loss: 0.0002660233585629612, time: 0.01 seconds
Epoch 132, Loss: 0.00026399496709927917, time: 0.01 seconds
Epoch 133, Loss: 0.00026183301815763116, time: 0.01 seconds
Epoch 134, Loss: 0.00025935214944183826, time: 0.01 seconds
Epoch 135, Loss: 0.0002568693598732352, time: 0.01 seconds
Epoch 136, Loss: 0.0002542203292250633, time: 0.01 seconds
Epoch 137, Loss: 0.00025154362083412707, time: 0.01 seconds
Epoch 138, Loss: 0.00024903472512960434, time: 0.01 seconds
Epoch 139, Loss: 0.0002465207362547517, time: 0.01 seconds
Epoch 140, Loss: 0.00024412568018306047, time: 0.01 seconds
Epoch 141, Loss: 0.00024185828806366771, time: 0.01 seconds
Epoch 142, Loss: 0.000239771994529292, time: 0.01 seconds
Epoch 143, Loss: 0.00023783682263456285, time: 0.00 seconds
Epoch 144, Loss: 0.00023598162806592882, time: 0.01 seconds
Epoch 145, Loss: 0.0002342757798032835, time: 0.01 seconds
Epoch 146, Loss: 0.00023264309857040644, time: 0.01 seconds
Epoch 147, Loss: 0.00023105289437808096, time: 0.01 seconds
Epoch 148, Loss: 0.00022947101388126612, time: 0.01 seconds
Epoch 149, Loss: 0.0002279296750202775, time: 0.01 seconds
Epoch 150, Loss: 0.00022632379841525108, time: 0.01 seconds
Epoch 151, Loss: 0.00022476096637547016, time: 0.01 seconds
Epoch 152, Loss: 0.00022319525305647403, time: 0.01 seconds
Epoch 153, Loss: 0.00022159663785714656, time: 0.01 seconds
Epoch 154, Loss: 0.00021994799317326397, time: 0.01 seconds
Epoch 155, Loss: 0.00021827869932167232, time: 0.01 seconds
Epoch 156, Loss: 0.00021667966211680323, time: 0.01 seconds
Epoch 157, Loss: 0.0002150891232304275, time: 0.01 seconds
Epoch 158, Loss: 0.00021349251619540155, time: 0.01 seconds
Epoch 159, Loss: 0.00021193924476392567, time: 0.01 seconds
Epoch 160, Loss: 0.00021039148850832134, time: 0.01 seconds
Epoch 161, Loss: 0.00020894610497634858, time: 0.01 seconds
Epoch 162, Loss: 0.00020750422845594585, time: 0.01 seconds
Epoch 163, Loss: 0.00020603711891453713, time: 0.01 seconds
Epoch 164, Loss: 0.00020467462309170514, time: 0.01 seconds
Epoch 165, Loss: 0.00020333715656306595, time: 0.01 seconds
Epoch 166, Loss: 0.00020201933511998504, time: 0.01 seconds
Epoch 167, Loss: 0.00020065683929715306, time: 0.01 seconds
Epoch 168, Loss: 0.00019937280740123242, time: 0.01 seconds
Epoch 169, Loss: 0.00019805264309979975, time: 0.01 seconds
Epoch 170, Loss: 0.0001967838907148689, time: 0.01 seconds
Epoch 171, Loss: 0.0001954833569470793, time: 0.00 seconds
Epoch 172, Loss: 0.00019425747450441122, time: 0.01 seconds
Epoch 173, Loss: 0.00019293560762889683, time: 0.01 seconds
Epoch 174, Loss: 0.0001916798355523497, time: 0.01 seconds
Epoch 175, Loss: 0.00019045731460209936, time: 0.01 seconds
Epoch 176, Loss: 0.00018922741583082825, time: 0.01 seconds
Epoch 177, Loss: 0.00018800940597429872, time: 0.01 seconds
Epoch 178, Loss: 0.0001868191611720249, time: 0.01 seconds
Epoch 179, Loss: 0.00018565299978945404, time: 0.01 seconds
Epoch 180, Loss: 0.00018452314543537796, time: 0.01 seconds
Epoch 181, Loss: 0.0001833806891227141, time: 0.01 seconds
Epoch 182, Loss: 0.00018226378597319126, time: 0.01 seconds
Epoch 183, Loss: 0.00018116054707206786, time: 0.01 seconds
Epoch 184, Loss: 0.00018007357721216977, time: 0.01 seconds
Epoch 185, Loss: 0.00017898765509016812, time: 0.01 seconds
Epoch 186, Loss: 0.00017792095604818314, time: 0.01 seconds
Epoch 187, Loss: 0.0001768707443261519, time: 0.01 seconds
Epoch 188, Loss: 0.00017582632426638156, time: 0.01 seconds
Epoch 189, Loss: 0.00017478315567132086, time: 0.01 seconds
Epoch 190, Loss: 0.00017375855532009155, time: 0.01 seconds
Epoch 191, Loss: 0.00017277069855481386, time: 0.01 seconds
