Epoch 0, Data Loss: 0.8071159720420837, Physics Loss: 0.11265090107917786, Total Loss: 0.8183810710906982, time: 0.55 seconds
Epoch 1, Data Loss: 0.8051908016204834, Physics Loss: 0.11295338720083237, Total Loss: 0.816486120223999, time: 0.46 seconds
Epoch 2, Data Loss: 0.8030194640159607, Physics Loss: 0.11359355598688126, Total Loss: 0.8143787980079651, time: 0.46 seconds
Epoch 3, Data Loss: 0.8001667857170105, Physics Loss: 0.1146998479962349, Total Loss: 0.811636745929718, time: 0.45 seconds
Epoch 4, Data Loss: 0.79644775390625, Physics Loss: 0.1162099689245224, Total Loss: 0.8080687522888184, time: 0.46 seconds
Epoch 5, Data Loss: 0.7918042540550232, Physics Loss: 0.11794432252645493, Total Loss: 0.8035987019538879, time: 0.46 seconds
Epoch 6, Data Loss: 0.7862387299537659, Physics Loss: 0.11955252289772034, Total Loss: 0.7981939911842346, time: 0.57 seconds
Epoch 7, Data Loss: 0.7794744968414307, Physics Loss: 0.12091617286205292, Total Loss: 0.7915661334991455, time: 0.52 seconds
Epoch 8, Data Loss: 0.7713414430618286, Physics Loss: 0.12193042784929276, Total Loss: 0.7835344672203064, time: 0.47 seconds
Epoch 9, Data Loss: 0.7617985010147095, Physics Loss: 0.12260232120752335, Total Loss: 0.7740587592124939, time: 0.47 seconds
Epoch 10, Data Loss: 0.7508576512336731, Physics Loss: 0.12297337502241135, Total Loss: 0.7631549835205078, time: 0.44 seconds
Epoch 11, Data Loss: 0.7386228442192078, Physics Loss: 0.12337192893028259, Total Loss: 0.7509600520133972, time: 0.44 seconds
Epoch 12, Data Loss: 0.7252753973007202, Physics Loss: 0.12450654059648514, Total Loss: 0.7377260327339172, time: 0.48 seconds
Epoch 13, Data Loss: 0.711041271686554, Physics Loss: 0.1268686205148697, Total Loss: 0.7237281203269958, time: 0.51 seconds
Epoch 14, Data Loss: 0.6962069272994995, Physics Loss: 0.13077199459075928, Total Loss: 0.7092841267585754, time: 0.44 seconds
Epoch 15, Data Loss: 0.6808785200119019, Physics Loss: 0.13586899638175964, Total Loss: 0.6944653987884521, time: 0.45 seconds
Epoch 16, Data Loss: 0.6647709012031555, Physics Loss: 0.1407380998134613, Total Loss: 0.678844690322876, time: 0.54 seconds
Epoch 17, Data Loss: 0.6477335691452026, Physics Loss: 0.1455526500940323, Total Loss: 0.6622888445854187, time: 0.47 seconds
Epoch 18, Data Loss: 0.6299440860748291, Physics Loss: 0.14935851097106934, Total Loss: 0.644879937171936, time: 0.44 seconds
Epoch 19, Data Loss: 0.6119929552078247, Physics Loss: 0.15368276834487915, Total Loss: 0.6273612380027771, time: 0.45 seconds
Epoch 20, Data Loss: 0.5947936773300171, Physics Loss: 0.16016098856925964, Total Loss: 0.6108098030090332, time: 0.46 seconds
Epoch 21, Data Loss: 0.5797169804573059, Physics Loss: 0.16994108259677887, Total Loss: 0.5967110991477966, time: 0.45 seconds
Epoch 22, Data Loss: 0.5680025219917297, Physics Loss: 0.18351224064826965, Total Loss: 0.5863537192344666, time: 0.44 seconds
Epoch 23, Data Loss: 0.559855580329895, Physics Loss: 0.19969981908798218, Total Loss: 0.5798255801200867, time: 0.45 seconds
Epoch 24, Data Loss: 0.5539664030075073, Physics Loss: 0.2132667601108551, Total Loss: 0.5752930641174316, time: 0.44 seconds
Epoch 25, Data Loss: 0.5487584471702576, Physics Loss: 0.2215571403503418, Total Loss: 0.5709141492843628, time: 0.45 seconds
Epoch 26, Data Loss: 0.5436952114105225, Physics Loss: 0.22692547738552094, Total Loss: 0.5663877725601196, time: 0.45 seconds
Epoch 27, Data Loss: 0.5380904674530029, Physics Loss: 0.2312399297952652, Total Loss: 0.5612144470214844, time: 0.45 seconds
Epoch 28, Data Loss: 0.5309202075004578, Physics Loss: 0.23535975813865662, Total Loss: 0.5544561743736267, time: 0.45 seconds
Epoch 29, Data Loss: 0.522781252861023, Physics Loss: 0.240596204996109, Total Loss: 0.5468408465385437, time: 0.44 seconds
Epoch 30, Data Loss: 0.5154232382774353, Physics Loss: 0.24500662088394165, Total Loss: 0.539923906326294, time: 0.44 seconds
Epoch 31, Data Loss: 0.5099908709526062, Physics Loss: 0.2481980323791504, Total Loss: 0.5348106622695923, time: 0.44 seconds
Epoch 32, Data Loss: 0.5063631534576416, Physics Loss: 0.24773326516151428, Total Loss: 0.5311364531517029, time: 0.44 seconds
Epoch 33, Data Loss: 0.5041126608848572, Physics Loss: 0.2447257936000824, Total Loss: 0.5285852551460266, time: 0.44 seconds
Epoch 34, Data Loss: 0.5030620694160461, Physics Loss: 0.23905447125434875, Total Loss: 0.5269675254821777, time: 0.45 seconds
Epoch 35, Data Loss: 0.5029168725013733, Physics Loss: 0.2333146184682846, Total Loss: 0.5262483358383179, time: 0.55 seconds
Epoch 36, Data Loss: 0.5030716061592102, Physics Loss: 0.22732114791870117, Total Loss: 0.5258037447929382, time: 0.47 seconds
Epoch 37, Data Loss: 0.5029947757720947, Physics Loss: 0.22357279062271118, Total Loss: 0.5253520607948303, time: 0.47 seconds
Epoch 38, Data Loss: 0.5026305317878723, Physics Loss: 0.22081781923770905, Total Loss: 0.524712324142456, time: 0.50 seconds
Epoch 39, Data Loss: 0.5021942853927612, Physics Loss: 0.21855512261390686, Total Loss: 0.5240498185157776, time: 0.66 seconds
Epoch 40, Data Loss: 0.5017173290252686, Physics Loss: 0.2161552757024765, Total Loss: 0.5233328342437744, time: 0.45 seconds
Epoch 41, Data Loss: 0.5010517835617065, Physics Loss: 0.2133914977312088, Total Loss: 0.5223909616470337, time: 0.44 seconds
Epoch 42, Data Loss: 0.500088095664978, Physics Loss: 0.21125099062919617, Total Loss: 0.521213173866272, time: 0.44 seconds
Epoch 43, Data Loss: 0.4989181458950043, Physics Loss: 0.20910263061523438, Total Loss: 0.5198284387588501, time: 0.44 seconds
