Epoch 48, Data Loss: 0.00579675892367959, Physics Loss: 10.960758209228516, Total Loss: 1.1018726825714111, time: 0.44 seconds
Epoch 49, Data Loss: 0.005707311909645796, Physics Loss: 10.960758209228516, Total Loss: 1.1017831563949585, time: 0.45 seconds
Epoch 50, Data Loss: 0.005725754424929619, Physics Loss: 10.960758209228516, Total Loss: 1.1018016338348389, time: 0.45 seconds
Epoch 51, Data Loss: 0.005779904313385487, Physics Loss: 10.960758209228516, Total Loss: 1.101855754852295, time: 0.46 seconds
Epoch 52, Data Loss: 0.005795679520815611, Physics Loss: 10.960758209228516, Total Loss: 1.1018716096878052, time: 0.44 seconds
Epoch 53, Data Loss: 0.005719922948628664, Physics Loss: 10.960758209228516, Total Loss: 1.1017957925796509, time: 0.44 seconds
Epoch 54, Data Loss: 0.005533152725547552, Physics Loss: 10.960758209228516, Total Loss: 1.1016089916229248, time: 0.44 seconds
Epoch 55, Data Loss: 0.005268920212984085, Physics Loss: 10.960758209228516, Total Loss: 1.1013448238372803, time: 0.44 seconds
Epoch 56, Data Loss: 0.004962282255291939, Physics Loss: 10.960758209228516, Total Loss: 1.1010382175445557, time: 0.44 seconds
Epoch 57, Data Loss: 0.004656351637095213, Physics Loss: 10.960758209228516, Total Loss: 1.1007322072982788, time: 0.44 seconds
Epoch 58, Data Loss: 0.004386244807392359, Physics Loss: 10.960758209228516, Total Loss: 1.1004620790481567, time: 0.55 seconds
Epoch 59, Data Loss: 0.004167450591921806, Physics Loss: 10.960758209228516, Total Loss: 1.100243330001831, time: 0.44 seconds
Epoch 60, Data Loss: 0.004001120571047068, Physics Loss: 10.960758209228516, Total Loss: 1.1000770330429077, time: 0.45 seconds
Epoch 61, Data Loss: 0.0038726876955479383, Physics Loss: 10.960758209228516, Total Loss: 1.099948525428772, time: 0.44 seconds
Epoch 62, Data Loss: 0.0037592146545648575, Physics Loss: 10.960758209228516, Total Loss: 1.0998351573944092, time: 0.45 seconds
Epoch 63, Data Loss: 0.0036375485360622406, Physics Loss: 10.960758209228516, Total Loss: 1.0997134447097778, time: 0.44 seconds
Epoch 64, Data Loss: 0.0034913222771137953, Physics Loss: 10.960758209228516, Total Loss: 1.099567174911499, time: 0.45 seconds
Epoch 65, Data Loss: 0.00331494421698153, Physics Loss: 10.960758209228516, Total Loss: 1.0993908643722534, time: 0.44 seconds
Epoch 66, Data Loss: 0.0031139422208070755, Physics Loss: 10.960758209228516, Total Loss: 1.0991898775100708, time: 0.44 seconds
Epoch 67, Data Loss: 0.0029018516652286053, Physics Loss: 10.960758209228516, Total Loss: 1.0989776849746704, time: 0.45 seconds
Epoch 68, Data Loss: 0.0026953578926622868, Physics Loss: 10.960758209228516, Total Loss: 1.0987712144851685, time: 0.44 seconds
Epoch 69, Data Loss: 0.0025090808048844337, Physics Loss: 10.960758209228516, Total Loss: 1.0985850095748901, time: 0.45 seconds
Epoch 70, Data Loss: 0.002351517789065838, Physics Loss: 10.960758209228516, Total Loss: 1.098427414894104, time: 0.44 seconds
Epoch 71, Data Loss: 0.002223410177975893, Physics Loss: 10.960758209228516, Total Loss: 1.098299264907837, time: 0.47 seconds
Epoch 72, Data Loss: 0.002118778182193637, Physics Loss: 10.960758209228516, Total Loss: 1.0981947183609009, time: 0.44 seconds
Epoch 73, Data Loss: 0.002028228249400854, Physics Loss: 10.960758209228516, Total Loss: 1.0981041193008423, time: 0.44 seconds
Epoch 74, Data Loss: 0.0019430862739682198, Physics Loss: 10.960758209228516, Total Loss: 1.098019003868103, time: 0.44 seconds
Epoch 75, Data Loss: 0.0018587325466796756, Physics Loss: 10.960758209228516, Total Loss: 1.097934603691101, time: 0.45 seconds
Epoch 76, Data Loss: 0.001775842742063105, Physics Loss: 10.960758209228516, Total Loss: 1.0978517532348633, time: 0.62 seconds
Epoch 77, Data Loss: 0.0016993078170344234, Physics Loss: 10.960758209228516, Total Loss: 1.0977752208709717, time: 0.44 seconds
Epoch 78, Data Loss: 0.0016354164108633995, Physics Loss: 10.960758209228516, Total Loss: 1.0977113246917725, time: 0.44 seconds
Epoch 79, Data Loss: 0.0015888063935562968, Physics Loss: 10.960758209228516, Total Loss: 1.097664713859558, time: 0.44 seconds
Epoch 80, Data Loss: 0.0015603428473696113, Physics Loss: 10.960758209228516, Total Loss: 1.0976362228393555, time: 0.45 seconds
